,English_Verse_chap4_google
28,"""Forgot to eight eggs! Xiucai scolded the official story later."
29,"A Q ran into the rice field, standing alone, still felt his fingerache, and remembered ""forgetting the eight eggs"", because this is not used by the villagers of Weizhuang.Fear, and the impression is particularly deep.But at this time, his ""female ..."" thought was gone.And after being scolded, it seemed that one thing had been ended. Instead, I felt like there was no hindrance, so I went to Chunmi.After spring, he got hot and took a break again."
30,"When he took off his clothes, he heard that he was very lively outside. Ah Q loved to see the lively, and he went out.Xun Xunxun gradually found in the inner courtyard of Taiye. Although in the dimness, many people were able to do it., Zhao Sichen."
31,"The young grandmother was dragging Wu's mother and walked out of the room, and said:"
32,"""Come outside, ... don't hide in your own room and think ..."""
33,"""Who doesn't know that you are serious, ... the shortcomings are unable to find it."" Zou Qiyi also said."
34,"Wu Ma just cried, clamped some words, but he didn't hear clearly."
35,"Ah Q thought: ""Huh, interesting, this little lonely didn't know what the messenger was doing?"" He wanted to inquire and approach Zhao Sichen's side.At this time he suddenly saw Uncle Zhao running towards him, and he squeezed a big bamboo bar in his hand.When he saw this big bamboo bar, he suddenly realized that he had been beaten, which seemed to be a bit related to this excitement.He turned around and walked away, trying to escape back to Chunmi Farm, not trying to obstruct his way, so he turned around again, and naturally walked out of the back door."
36,"A Q sat for a while, his skin was a little bit millet, and he felt cold, because although he was in spring, there was a cold cold at night, and it was not shirtless.He also remembers the cloth shirt to stay in the Zhao family, but if he takes it, he is afraid of showing the talented bamboo bar.But the land protection came in."
37,"""Ah Q, your mother! You even teased by the Zhao family's employers. It is a rebellion. It hurts me to sleep at night, your mother's! ..."""
38,"If Yunyun's lesson, Ah Q naturally had nothing to say.At the end of the time, because in the evening, it should be sent to the land to pay more than four hundred wines. Ah Q did not have any money, so he used a felt hat to be mortgaged, and five conditions were set:"
39,"Tomorrow with red candle -a pound of weight -a pair, a fragrant, go to Zhao Mansion to compensate."
40,"On the second Zhao Mansion, the Taoist priest was asked to remove the ghosts, and the cost was borne by Ah Q."
41,San Ah Q has never been allowed to step into the threshold of Zhao's house.
42,"If the four Wu moms have followed up, Ah Q is asked."
43,Wu Ah Q is not allowed to ask for workers and cloth shirts.
44,"Ah Q naturally agreed, but unfortunately there was no money.Fortunately, in the spring, the quilt can be useless, and it has 2,000 money and fulfills the treaty.After shirtless, there were a few articles left, and he no longer redeemed a felt hat, and he drank all of them.But the Zhao family did not burn incense candle, because the wife could use it when worshiping the Buddha, and kept it.The broken cloth shirt was mostly the lining of the children born in August in August, and the half -tattered sole was made."
