,English_Verse_chap5_google
19,"Weizhuang was not in Daicun Town, and after a long time, it went through.Most of the villages are paddy fields, the eyes are full of tender green, and the black spots of several round activities are sandwiched.A Q didn't appreciate this Tianjiale, but he just left, because he intuitively knew that the way of ""eating"" with him was very long.But he finally walked outside the wall of Jing Xiuyu."
20,"There is also a paddy field around the ，, and the pink wall protrudes in the new green, and the low earth wall behind is a vegetable garden.Ah Q hesitated for a while, looked at each other on all sides, and no one.He climbed into this low wall and pulled Ho Shouwu vine, but the soil was still losingly, and A Q's feet shook; finally climbed mulberry branches and jumped into it.It is really lush inside, but it does not seem to have rice wine buns, as well as other foods.The west wall is a bamboo bush, and many bamboo shoots below are unfortunately cooked in the end. There are also early tunnels of rapeseed. Mustard has blossomed and cabbage is very old."
21,"Ah Q felt uncomfortable as if Wen Tongshi was in the middle of the garden, and he was very surprised. This was clearly an old radish.He squatted down and pulled it down, and suddenly a very round head was out of the door, and he shrank back. This was clearly a little nun.The flow of the aunt of the little nun was that Ah Q had originally regarded the grass and mustard, but the world had to ""retreat"", so he quickly pulled up four radishes, twisted the green leaves, and pocked in the big placket.But the old nun has come out."
22,"""Amitabha, Ah Q, how do you jump into the garden to steal radish! Ah, sin, Ah, Amitabha! ..."""
23,"""When will I jump into your garden to steal radish?"" Ah Q said and walked away."
24,"""Now ... isn't this?"" Lao Nigu pointed at his pocket."
25,"""Is this yours? Can you call him promise you? You ..."""
26,"Ah Q didn't finish his words, and ran away; he chased a very fat black dog.This was originally in the front door, but somehow came to the back garden.The black dog hummed and chased, and she was already biting A Q's legs. Fortunately, a radish fell from the pocket. The dog was frightened and stopped slightly.Get out of the wall.Only the black dog was still facing the mulberry cricket, and the old nun was thinking about the Buddha."
27,"Ah Q was afraid that Nuni would release the black dog again, picked up the radish and walked away. He picked up a few small stones along the road, but the black dog no longer appeared.Ah Q thus throwing the stone and eating, thinking, and thinking, there is nothing to find here, it is better to go to the city ..."
28,"When the three radish finished eating, he had made up the idea of entering the city."
