Chinese_verse,English_Verse
“女……”阿Q想。,"""Female ..."" Ah Q thought."
他对于以为“一定想引诱野男人”的女人，时常留心看，然而伊并不对他笑。他对于和他讲话的女人，也时常留心听，然而伊又并不提起关于什么勾当的话来。哦，这也是女人可恶之一节：伊们全都要装“假正经”的。,"He often pays attention to the woman who thinks ""who wants to seduce wild men"", but Yi does not laugh at him.He often listened to the woman who spoke to him, but Yi did not mention what kind of words about.Oh, this is also one of the abominable sections of women: Iraqi must pretend to be ""false""."
这一天，阿Q在赵太爷家里春了一天米，吃过晚饭，便坐在厨房里吸早烟。倘在别家，吃过晚饭本可以回去的了，但赵府上晚饭早，虽说定例不准掌灯，一吃完便睡觉，然而偶然也有一些例外：其一，是赵大爷未进秀才的时候，准其点灯读文章；其二，便是阿Q来做短工的时候，准其点灯舂米。因这一条例外，所以阿Q在动手舂米之前，还坐在厨房里吸旱烟。,"On this day, A Q was springing for a day in the house of Taiye Zhao. After dinner, he sat in the kitchen and smoked early.If you have dinner, you can go back after dinner, but Zhao House has dinner in the morning. Although the lamp is not allowed to be the light, it will go to bed when you eat it.It is quasirable to read the article; the second is that when A Q came to be a short worker, it was allowed to light rice.Due to this exception, before Ah Q was still in the kitchen, he was drunk in the kitchen."
吴妈，是赵太爷家里唯一的女仆，洗完了碗碟，也就在长凳上坐下了，而且和阿Q谈闲天：,"Wu Ma is the only maid in the house of Taiye Zhao. After washing the dishes, he sat down on the bench, and talked with Ah Q:"
“太太两天没有吃饭哩，因为老爷要买一个小的⋯⋯”,"""My wife didn't eat for two days, because the master wanted to buy a small one"""
“女人⋯⋯吴妈⋯⋯这小孤孀⋯⋯”阿Q想。,"""Woman, Wu Ma, this little lonely,"" Ah Q thought."
“我们的少奶奶是八月里要生孩子了⋯⋯”,"""Our young grandma is going to have children in August ..."""
“女人⋯⋯”阿Q想。,"""Woman ..."" Ah Q thought."
阿Q放下烟管，站了起来。,A Q put down the cigarette pipe and stood up.
“我们的少奶奶…⋯”吴妈还唠叨说。,"""Our young grandma ..."" Wu Ma said."
“我和你困觉，我和你困觉！”阿Q忽然抢上去，对伊跪下 了。,"""I feel sleepy with you, I and you are sleepy!"" Ah Q suddenly rushed up and kneeled down to Yi."
一刹时中很寂然。,It was very silent for a moment.
“阿呀！”吴妈楞了一息，突然发抖，大叫着往外跑，且跑且嚷、似乎后来带哭了。,"""Ah!"" Wu Ma shook, trembled suddenly, yelled and ran out, running and shouting, and seemed to be crying later."
阿Q对了墙壁跪着也发楞，于是两手扶着空板凳，慢慢的站起来，仿佛觉得有些糟。他这时确也有些忐忑了，慌张的将烟管插在裤带上，就想去春米。蓬的一声，头上着了很粗的一下，他急忙回转身去，那秀才便拿了一支大竹杠站在他面前。,"Ah Q was kneeling on the wall and also froze, so he held the empty bench with both hands and slowly stood up, as if it felt a little bad.At this time, he was really a little embarrassed. He panicked and inserted the cigarette pipe on his pants and wanted to go to Chunmi.With a crowned, his head was thick, and he hurried back and turned around, and then the show stood in front of him with a big bamboo bar."
“你反了，⋯⋯你这⋯⋯”,"""You're reversed, ... you ..."""
大竹杠又向他劈下来了。阿Q两手去抱头，拍的正打在指节上，这可很有一些痛。他冲出厨房门，仿佛背上又着了一下似的。,"The big bamboo bar split him again.A Q's hands were hugged, and the shooting was hitting the knuckles, which was a little painful.He rushed out of the kitchen door, as if on his back."
“忘八蛋！秀才在后面用了官话这样骂。,"""Forgot to eight eggs! Xiucai scolded the official story later."
阿Q奔入舂米场，一个人站着，还觉得指头痛，还记得“忘八蛋”，因为这话是未庄的乡下人从来不用，专是见过官府的阔人用的，所以格外怕，而印象也格外深。但这时，他那“女…”的思想却也没有了。而且打骂之后，似乎一件事也已经收束，倒反觉得一无挂碍似的，便动手去春米。春了一会，他热起来了，又歇了手脱衣服。,"A Q ran into the rice field, standing alone, still felt his fingerache, and remembered ""forgetting the eight eggs"", because this is not used by the villagers of Weizhuang.Fear, and the impression is particularly deep.But at this time, his ""female ..."" thought was gone.And after being scolded, it seemed that one thing had been ended. Instead, I felt like there was no hindrance, so I went to Chunmi.After spring, he got hot and took a break again."
脱下衣服的时候，他听得外面很热闹，阿Q生平本来最爱看热闹，便即寻声走出去了。寻声渐渐的寻到赵太爷的内院里，虽然在昏黄中，却辦得出许多人，赵府一家连两日不吃饭的太太也在内，还有间壁的邹七嫂，真正本家的赵白眼，赵司晨。,"When he took off his clothes, he heard that he was very lively outside. Ah Q loved to see the lively, and he went out.Xun Xunxun gradually found in the inner courtyard of Taiye. Although in the dimness, many people were able to do it., Zhao Sichen."
少奶奶正拖着吴妈走出下房来，一面说：,"The young grandmother was dragging Wu's mother and walked out of the room, and said:"
"“你到外面来, ……不要躲在自己房里想......”","""Come outside, ... don't hide in your own room and think ..."""
“谁不知道你正经，…⋯短见是万万寻不得的。”邹七嫂也从旁说。,"""Who doesn't know that you are serious, ... the shortcomings are unable to find it."" Zou Qiyi also said."
吴妈只是哭，夹些语，却不甚听得分明。,"Wu Ma just cried, clamped some words, but he didn't hear clearly."
阿Q想：“哼，有趣，这小孤孀不知道闹着什么玩意儿了？”他想打听，走近赵司晨的身边。这时他猛然间看见赵大爷向他奔来，而且手里捏着一支大竹杠。他看见这一支大竹杠，便猛然间悟到自己曾经被打，和这一场热闹似乎有点相关。他翻身便走，想逃回春米场，不图这支竹杠阻了他的去路，于是他又翻身便走，自然而然的走出后门，不多工夫，已在土谷祠内了。,"Ah Q thought: ""Huh, interesting, this little lonely didn't know what the messenger was doing?"" He wanted to inquire and approach Zhao Sichen's side.At this time he suddenly saw Uncle Zhao running towards him, and he squeezed a big bamboo bar in his hand.When he saw this big bamboo bar, he suddenly realized that he had been beaten, which seemed to be a bit related to this excitement.He turned around and walked away, trying to escape back to Chunmi Farm, not trying to obstruct his way, so he turned around again, and naturally walked out of the back door."
阿Q坐了一会，皮肤有些起粟，他觉得冷了，因为虽在春季，而夜间颇有余寒，尚不宜于赤膊。他也记得布衫留在赵家，但倘若去取，又深怕秀才的竹杠。然而地保进来了。,"A Q sat for a while, his skin was a little bit millet, and he felt cold, because although he was in spring, there was a cold cold at night, and it was not shirtless.He also remembers the cloth shirt to stay in the Zhao family, but if he takes it, he is afraid of showing the talented bamboo bar.But the land protection came in."
“阿Q，你的妈妈的！你连赵家的用人都调戏起来，简直是造反。害得我晚上没有觉睡，你的妈妈的！……”,"""Ah Q, your mother! You even teased by the Zhao family's employers. It is a rebellion. It hurts me to sleep at night, your mother's! ..."""
如是云云的教训了一通，阿Q自然没有话。临末，因为在晚上，应该送地保加倍酒钱四百文，阿Q正没有现钱，便用一顶毡帽做抵押，并且订定了五条件：,"If Yunyun's lesson, Ah Q naturally had nothing to say.At the end of the time, because in the evening, it should be sent to the land to pay more than four hundred wines. Ah Q did not have any money, so he used a felt hat to be mortgaged, and five conditions were set:"
一 明天用红烛—要一斤重的——一对，香一封，到赵府上去赔罪。,"Tomorrow with red candle -a pound of weight -a pair, a fragrant, go to Zhao Mansion to compensate."
二赵府上请道士祓除缢鬼，费用由阿Q负担。,"On the second Zhao Mansion, the Taoist priest was asked to remove the ghosts, and the cost was borne by Ah Q."
三阿Q从此不准踏进赵府的门槛。,San Ah Q has never been allowed to step into the threshold of Zhao's house.
四吴妈此后倘有不测，惟阿Q是问。,"If the four Wu moms have followed up, Ah Q is asked."
五阿Q不准再去索取工銭和布衫。,Wu Ah Q is not allowed to ask for workers and cloth shirts.
阿Q自然都答应了，可惜没有钱。幸而已经春天，棉被可以无用，便质了二千大钱，履行条约。赤膊磕头之后，居然还剩几文，他也不再赎毡帽，统统喝了酒了。但赵家也并不烧香点烛，因为太太拜佛的时候可以用，留着了。那破布衫是大半做了少奶奶八月间生下来的孩子的衬尿布，那小半破烂的便都做了吴妈的鞋底。,"Ah Q naturally agreed, but unfortunately there was no money.Fortunately, in the spring, the quilt can be useless, and it has 2,000 money and fulfills the treaty.After shirtless, there were a few articles left, and he no longer redeemed a felt hat, and he drank all of them.But the Zhao family did not burn incense candle, because the wife could use it when worshiping the Buddha, and kept it.The broken cloth shirt was mostly the lining of the children born in August in August, and the half -tattered sole was made."
